ID,time created, user name, user followers, likes, retweets
1100777912347721729,Wed Feb 27 15:21:20 +0000 2019,JeniHenrickson,326,3,0
1100777767749206016,Wed Feb 27 15:20:45 +0000 2019,CSforALL,12983,3,0
1100777721184038914,Wed Feb 27 15:20:34 +0000 2019,cscharber,1265,3,7
1100777099428851713,Wed Feb 27 15:18:06 +0000 2019,lsudol,2664,3,0
1100777050326093828,Wed Feb 27 15:17:54 +0000 2019,CSforALL,12983,3,15
1100776995049201664,Wed Feb 27 15:17:41 +0000 2019,SweenIT,308,6,0
1100776793336958976,Wed Feb 27 15:16:53 +0000 2019,CSforALL,12983,6,0
1100776785510318080,Wed Feb 27 15:16:51 +0000 2019,anneleftwich,1069,12,0
1100776772700962818,Wed Feb 27 15:16:48 +0000 2019,lsudol,2664,6,22
1100776632653176832,Wed Feb 27 15:16:15 +0000 2019,cindyblitzphd,183,12,0
1100776594489180161,Wed Feb 27 15:16:06 +0000 2019,cindyblitzphd,183,3,0
1100776565204549633,Wed Feb 27 15:15:59 +0000 2019,WaringWhizKid,386,3,0
1100776452323201030,Wed Feb 27 15:15:32 +0000 2019,mrtomocon,1797,4,0
1100776408526348289,Wed Feb 27 15:15:21 +0000 2019,mrtomocon,1797,12,0
1100776084814073856,Wed Feb 27 15:14:04 +0000 2019,CisforCarla,352,4,0
1100775948985749505,Wed Feb 27 15:13:32 +0000 2019,CSforALL,12983,3,0
1100775893939687428,Wed Feb 27 15:13:19 +0000 2019,anneleftwich,1069,3,4
1100775776188801026,Wed Feb 27 15:12:51 +0000 2019,mrtomocon,1797,2,0
1100775664549023744,Wed Feb 27 15:12:24 +0000 2019,sanaya23,377,1,0
1100775484281970699,Wed Feb 27 15:11:41 +0000 2019,IMSTEMEquity,67,12,0
1100775127124492289,Wed Feb 27 15:10:16 +0000 2019,CSforALL,12983,12,0
1100775104265502720,Wed Feb 27 15:10:10 +0000 2019,lsudol,2664,12,28
1100774350960185346,Wed Feb 27 15:07:11 +0000 2019,CSforALL,12983,2,0
1100774227525885952,Wed Feb 27 15:06:41 +0000 2019,CIRCLEducators,267,3,0
1100773058120425480,Wed Feb 27 15:02:03 +0000 2019,YouthCodeJam,245,0,1
1100772633824686085,Wed Feb 27 15:00:21 +0000 2019,dr_nickiw,1110,2,6
1100770620281946115,Wed Feb 27 14:52:21 +0000 2019,stoneg57,107,3,0
1100769943648374785,Wed Feb 27 14:49:40 +0000 2019,CSforALL,12983,4,0
1100768056714899457,Wed Feb 27 14:42:10 +0000 2019,jgpinhe,225,2,0
1100766361637261313,Wed Feb 27 14:35:26 +0000 2019,mrskalthoff,3403,0,0
1100766177377337344,Wed Feb 27 14:34:42 +0000 2019,bquentin3,720,1,0
1100766087996735489,Wed Feb 27 14:34:21 +0000 2019,kboyceq,844,1,5
1100765376063983616,Wed Feb 27 14:31:31 +0000 2019,NSSMEatHRI,96,0,2
1100762506111389696,Wed Feb 27 14:20:07 +0000 2019,AlefiyaBhatia,1837,3,0
1100761578335600641,Wed Feb 27 14:16:26 +0000 2019,MADLearn,3702,3,0
1100761553580769281,Wed Feb 27 14:16:20 +0000 2019,AbbyCameron131,263,0,4
1100760036731772928,Wed Feb 27 14:10:18 +0000 2019,pati_ru,423,2,0
1100759286161031168,Wed Feb 27 14:07:19 +0000 2019,AEF_Program,502,3,0
1100757860059963392,Wed Feb 27 14:01:39 +0000 2019,CSforAllTchrs,7267,3,5
1100753004800573447,Wed Feb 27 13:42:22 +0000 2019,NicolManlulu,2,4,0
