ID,time created, User, Followers, RTs, Favorites
1101240443013017603,Thu Feb 28 21:59:16 +0000 2019,LalaSRSLY,282,108,0
1101240329494241280,Thu Feb 28 21:58:49 +0000 2019,FCSoftheFL,9,0,0
1101240260007288832,Thu Feb 28 21:58:32 +0000 2019,VerlaineDiane,3030,10,0
1101240229221056513,Thu Feb 28 21:58:25 +0000 2019,TheSeablings,51,0,0
1101240033149939713,Thu Feb 28 21:57:38 +0000 2019,Auzz,4597,108,0
1101240020646748163,Thu Feb 28 21:57:35 +0000 2019,SMediaNut,7031,8,0
1101239937427488770,Thu Feb 28 21:57:15 +0000 2019,HenryLeerhenry,3199,108,0
1101239834172157953,Thu Feb 28 21:56:51 +0000 2019,TheSeablings,51,0,0
1101239662889353218,Thu Feb 28 21:56:10 +0000 2019,meowvon,81,0,3
1101239448157736960,Thu Feb 28 21:55:19 +0000 2019,Tmcguire_pa,1390,108,0
1101239375474708481,Thu Feb 28 21:55:01 +0000 2019,usdew,38736,0,1
1101239340171182080,Thu Feb 28 21:54:53 +0000 2019,laceyladi2,11855,108,0
1101239220474208256,Thu Feb 28 21:54:24 +0000 2019,UrBallotMatters,7821,108,0
1101238950738493443,Thu Feb 28 21:53:20 +0000 2019,OutLeadership,9289,1,6
1101238767640330245,Thu Feb 28 21:52:36 +0000 2019,Forever_Rayyan,12042,1,5
1101238752956071937,Thu Feb 28 21:52:33 +0000 2019,RomeoFrancine,915,108,0
1101238746521968640,Thu Feb 28 21:52:31 +0000 2019,NWPMArmstrong,1584,3,0
1101238414815494144,Thu Feb 28 21:51:12 +0000 2019,Ostaley,2016,1,0
1101238414484090881,Thu Feb 28 21:51:12 +0000 2019,BOB_1and_only,12912,108,0
1101238405889908736,Thu Feb 28 21:51:10 +0000 2019,Bhindi_Rani_108,370,32,0
1101238363271524352,Thu Feb 28 21:51:00 +0000 2019,Bhindi_Rani_108,370,27,0
1101238334289047554,Thu Feb 28 21:50:53 +0000 2019,snowman1953k,2017,108,0
1101238190151589888,Thu Feb 28 21:50:19 +0000 2019,asiapaa,104,2,0
1101238099475079174,Thu Feb 28 21:49:57 +0000 2019,NewmannMichael,4960,108,0
1101237889546010629,Thu Feb 28 21:49:07 +0000 2019,BaldeAhmed,6535,10,0
1101237820994117633,Thu Feb 28 21:48:51 +0000 2019,EricaChenoweth,9420,10,0
1101237698944065541,Thu Feb 28 21:48:22 +0000 2019,RalphNMartins1,1100,2,0
1101237624017178624,Thu Feb 28 21:48:04 +0000 2019,unite_states,5,0,0
1101237541104173057,Thu Feb 28 21:47:44 +0000 2019,Forever_Rayyan,12042,10,0
1101237506454970368,Thu Feb 28 21:47:36 +0000 2019,fasterbunny666,4220,108,0
1101237478403395584,Thu Feb 28 21:47:29 +0000 2019,GramsLaraine,33,108,0
1101237452314951680,Thu Feb 28 21:47:23 +0000 2019,WonderWomanRoy,39,6,0
1101237391346581506,Thu Feb 28 21:47:08 +0000 2019,BlairgowrieLgbt,383,2,0
1101237084059328513,Thu Feb 28 21:45:55 +0000 2019,aya_chebbi,18551,10,0
1101237075272175616,Thu Feb 28 21:45:53 +0000 2019,AdopteeAdvocate,512,6,0
1101237056695615490,Thu Feb 28 21:45:48 +0000 2019,imma697,163,1,0
1101237046620770304,Thu Feb 28 21:45:46 +0000 2019,RebeccaOGM,4157,0,0
1101237030892142592,Thu Feb 28 21:45:42 +0000 2019,AMadelaide21,42,0,1
1101236987653165056,Thu Feb 28 21:45:32 +0000 2019,lsb312,1022,108,0
1101236868308500481,Thu Feb 28 21:45:04 +0000 2019,BCTogs,263,0,0
1101236713966456843,Thu Feb 28 21:44:27 +0000 2019,Z3RoForksGiven,5405,108,0
1101236612325916673,Thu Feb 28 21:44:03 +0000 2019,KellB_M,48,0,0
1101236591836778496,Thu Feb 28 21:43:58 +0000 2019,jessmosc,144,108,0
1101236565806907392,Thu Feb 28 21:43:51 +0000 2019,FalcoNat38,1515,108,0
1101236246825914369,Thu Feb 28 21:42:35 +0000 2019,AnthonyHurley17,1638,108,0
1101236212617175041,Thu Feb 28 21:42:27 +0000 2019,LondonVisa,317,0,0
1101235709485158406,Thu Feb 28 21:40:27 +0000 2019,GypsySaltydog,1185,108,0
1101235631693406209,Thu Feb 28 21:40:09 +0000 2019,AdopteeAdvocate,512,15,0
1101235260321218561,Thu Feb 28 21:38:40 +0000 2019,msdamcgee,547,108,0
1101235204511944705,Thu Feb 28 21:38:27 +0000 2019,Dennis41270691,168,108,0
1101235203907837953,Thu Feb 28 21:38:27 +0000 2019,mignoniette,550,0,1
1101235100279173121,Thu Feb 28 21:38:02 +0000 2019,MrsRabbitResist,39118,108,0
1101234923812225024,Thu Feb 28 21:37:20 +0000 2019,P4boxers,3921,108,167
1101234338316861441,Thu Feb 28 21:35:00 +0000 2019,annebibb,5594,1,1
1101234296877129728,Thu Feb 28 21:34:50 +0000 2019,mildak,33,1,2
1101234160503525378,Thu Feb 28 21:34:18 +0000 2019,OleOtterstad,192,0,1
1101234123438321665,Thu Feb 28 21:34:09 +0000 2019,meem_mena,44,0,0
1101233847285497857,Thu Feb 28 21:33:03 +0000 2019,Tottenham_Made,220,11,0
1101233218798452737,Thu Feb 28 21:30:33 +0000 2019,MFKinnear,576,1,0
1101233013092990976,Thu Feb 28 21:29:44 +0000 2019,DiversityRM,17739,2,0
1101232813481910273,Thu Feb 28 21:28:57 +0000 2019,mypride411,5,0,1
1101232747832594432,Thu Feb 28 21:28:41 +0000 2019,giehau,94,0,0
1101232593524019201,Thu Feb 28 21:28:04 +0000 2019,cedar_leda,274,0,0
1101231762804559873,Thu Feb 28 21:24:46 +0000 2019,mypride411,5,0,0
1101231757574242312,Thu Feb 28 21:24:45 +0000 2019,JTOhle,14,0,0
1101231077996331013,Thu Feb 28 21:22:03 +0000 2019,hasina_sadat,3856,11,0
1101231026875977729,Thu Feb 28 21:21:51 +0000 2019,bmthbloggers,1598,2,0
1101230845128519680,Thu Feb 28 21:21:08 +0000 2019,hitnhomeboy,69,0,0
1101230837356511233,Thu Feb 28 21:21:06 +0000 2019,LibraryBPC,155,0,1
1101230823670394881,Thu Feb 28 21:21:02 +0000 2019,CalmintheCity,555,2,0
1101230558183452672,Thu Feb 28 21:19:59 +0000 2019,AnnRudbeck,813,0,5
1101230054766534656,Thu Feb 28 21:17:59 +0000 2019,wlfpack81,1223,0,0
1101229870720405505,Thu Feb 28 21:17:15 +0000 2019,PenPath1,487,11,0
1101229819109494787,Thu Feb 28 21:17:03 +0000 2019,katrynamahoney,536,10,36
1101229658236952577,Thu Feb 28 21:16:25 +0000 2019,townsendprod,2290,3,0
1101229580742987789,Thu Feb 28 21:16:06 +0000 2019,VonnieShores,7443,0,1
1101229539173253122,Thu Feb 28 21:15:56 +0000 2019,yakubi555,535,11,0
1101229391256997888,Thu Feb 28 21:15:21 +0000 2019,matiullahwesa,3885,11,56
1101229046711623686,Thu Feb 28 21:13:59 +0000 2019,werkakount,29,15,0
1101229034871103488,Thu Feb 28 21:13:56 +0000 2019,townsendprod,2290,2,0
1101228997789274112,Thu Feb 28 21:13:47 +0000 2019,nfigueroajr,789,0,0
1101228948954980352,Thu Feb 28 21:13:35 +0000 2019,townsendprod,2290,1,0
1101228899252359168,Thu Feb 28 21:13:24 +0000 2019,SFDenyse,1016,2,0
1101228532699668488,Thu Feb 28 21:11:56 +0000 2019,Brasteds,2791,0,5
1101228401111826434,Thu Feb 28 21:11:25 +0000 2019,skyeblue19,16,4,0
1101228230672044033,Thu Feb 28 21:10:44 +0000 2019,ayolande,129,0,0
1101228001511895040,Thu Feb 28 21:09:50 +0000 2019,jigarshares,10,2,1
1101227843730751488,Thu Feb 28 21:09:12 +0000 2019,KhakanQureshi,2238,1,0
1101227799489273856,Thu Feb 28 21:09:01 +0000 2019,ForestBloggers,198,2,0
1101227778706493440,Thu Feb 28 21:08:56 +0000 2019,RobertW03388136,1687,11,0
1101227512116535296,Thu Feb 28 21:07:53 +0000 2019,SVForum,10325,2,7
1101227124856365056,Thu Feb 28 21:06:21 +0000 2019,RobertW03388136,1687,10,0
1101226628653481984,Thu Feb 28 21:04:22 +0000 2019,WrapItUpHarder,95,20,0
1101226548386910208,Thu Feb 28 21:04:03 +0000 2019,KateHumanRights,5572,5,15
1101225852556242946,Thu Feb 28 21:01:17 +0000 2019,emma_gilberts0n,153,1,2
1101225696184098816,Thu Feb 28 21:00:40 +0000 2019,AnoukPaesmans,434,0,0
1101225606765780992,Thu Feb 28 21:00:19 +0000 2019,nicbeanquest,330,2,1
1101225595885694981,Thu Feb 28 21:00:16 +0000 2019,el_hny,19,1,0
1101225433075453952,Thu Feb 28 20:59:37 +0000 2019,UELInclusion,249,4,0
1101225176862199808,Thu Feb 28 20:58:36 +0000 2019,AmparoLosadaAle,47,1,0
1101224855201038337,Thu Feb 28 20:57:19 +0000 2019,theAJSingleton,1822,0,0
1101224649252323328,Thu Feb 28 20:56:30 +0000 2019,160GirlsProject,271,9,0
1101224302223986689,Thu Feb 28 20:55:08 +0000 2019,PeterMerlinCane,114936,0,0
1101224265574158337,Thu Feb 28 20:54:59 +0000 2019,BGul09,8905,3,0
1101224086309691392,Thu Feb 28 20:54:16 +0000 2019,goune37,30,14,0
1101223361718484997,Thu Feb 28 20:51:23 +0000 2019,EmbraceRelief,5972,3,5
1101223274481094658,Thu Feb 28 20:51:03 +0000 2019,rayfletcher223,212,0,0
1101222906812604417,Thu Feb 28 20:49:35 +0000 2019,biogirl09,1289,14,0
1101222851082969095,Thu Feb 28 20:49:22 +0000 2019,HugoOwensMS,366,1,0
1101222840077045762,Thu Feb 28 20:49:19 +0000 2019,Vanessi3,639,1,4
